[2025-11-09T14:42:27.743Z] [INFO] 🚀 Starting Apple Documentation Crawler
[2025-11-09T14:43:12.700Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/appdatatransfer/documentation_appdatatransfer.pdf
[2025-11-09T14:43:12.706Z] [INFO] 📄 [21/5000] depth=1 [appintents] https://developer.apple.com/documentation/AppIntents
[2025-11-09T14:43:14.851Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/appintents/documentation_appintents.pdf
[2025-11-09T14:43:14.857Z] [INFO] 📄 [22/5000] depth=1 [applicensedeliverysdk] https://developer.apple.com/documentation/AppLicenseDeliverySDK
[2025-11-09T14:43:17.387Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/applicensedeliverysdk/documentation_applicensedeliverysdk.pdf
[2025-11-09T14:43:17.393Z] [INFO] 📄 [23/5000] depth=1 [appstoreconnectapi] https://developer.apple.com/documentation/AppStoreConnectAPI
[2025-11-09T14:43:19.279Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/appstoreconnectapi/documentation_appstoreconnectapi.pdf
[2025-11-09T14:43:19.287Z] [INFO] 📄 [24/5000] depth=1 [appstorereceipts] https://developer.apple.com/documentation/AppStoreReceipts
[2025-11-09T14:43:21.626Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/appstorereceipts/documentation_appstorereceipts.pdf
[2025-11-09T14:43:21.631Z] [INFO] 📄 [25/5000] depth=1 [appstoreserverapi] https://developer.apple.com/documentation/AppStoreServerAPI
[2025-11-09T14:43:23.986Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/appstoreserverapi/documentation_appstoreserverapi.pdf
[2025-11-09T14:43:23.992Z] [INFO] 📄 [26/5000] depth=1 [appstoreservernotifications] https://developer.apple.com/documentation/AppStoreServerNotifications
[2025-11-09T14:43:26.010Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/appstoreservernotifications/documentation_appstoreservernotifications.pdf
[2025-11-09T14:43:26.017Z] [INFO] 📄 [27/5000] depth=1 [apptrackingtransparency] https://developer.apple.com/documentation/AppTrackingTransparency
